30000001 30000005 1
30000001 30000007 1
30000002 30000005 1
30000002 30002973 1
30000003 30000001 1
30000003 30000007 1
30000003 30000052 1
30000003 30000084 1
30000004 30000005 1
30000004 30002509 1
30000005 30000001 1
30000005 30000002 1
30000005 30000004 1
30000005 30000032 1
30000006 30000008 1
30000006 30000023 1
30000007 30000001 1
30000007 30000003 1
30000007 30000008 1
30000008 30000006 1
30000008 30000007 1
30000008 30000057 1
30000008 30000076 1
30000009 30000010 1
30000010 30000009 1
30000010 30000011 1
30000010 30000013 100
30000011 30000010 1
30000011 30000038 100
30000012 30000013 100
30000012 30000073 100
30000013 30000010 100
30000013 30000012 100
30000013 30000014 100
30000013 30000015 100
30000013 30000016 100
30000014 30000013 100
30000014 30000090 100
30000014 30000098 100
30000015 30000013 100
30000015 30000018 100
30000015 30000046 100
30000015 30001047 100
30000016 30000013 100
30000017 30000018 100
30000017 30000020 100
30000017 30000021 100
30000017 30000022 100
30000018 30000015 100
30000018 30000017 100
30000018 30000021 100
30000019 30000022 100
30000020 30000017 100
30000021 30000017 100
30000021 30000018 100
30000022 30000017 100
30000022 30000019 100
30000023 30000006 1
30000023 30000024 1
30000023 30000030 1
30000024 30000023 1
30000024 30000025 1
30000024 30000027 1
30000024 30000028 1
30000025 30000024 1
30000025 30000026 1
30000025 30000027 1
30000025 30000028 1
30000026 30000025 1
30000026 30000028 1
30000026 30000029 1
30000026 30000030 1
30000027 30000024 1
30000027 30000025 1
30000027 30000028 1
30000028 30000024 1
30000028 30000025 1
30000028 30000026 1
30000028 30000027 1
30000028 30000064 1
30000029 30000026 1
30000029 30000030 1
30000030 30000023 1
30000030 30000026 1
30000030 30000029 1
30000030 30000112 1
30000031 30000033 1
30000031 30000035 1
30000032 30000005 1
30000032 30000033 1
30000032 30000034 1
30000033 30000031 1
30000033 30000032 1
30000034 30000032 1
30000035 30000031 1
30000035 30000036 100
30000035 30000114 100
30000036 30000035 100
30000036 30000037 100
30000037 30000036 100
30000037 30002508 100
30000038 30000011 100
30000038 30000039 100
30000038 30000040 100
30000038 30000043 100
30000039 30000038 100
30000039 30000040 100
30000039 30000041 100
30000040 30000038 100
30000040 30000039 100
30000040 30000043 100
30000041 30000039 100
30000041 30000042 100
30000042 30000041 100
30000043 30000038 100
30000043 30000040 100
30000043 30000100 100
30000044 30000045 100
30000044 30000046 100
30000045 30000044 100
30000045 30000046 100
30000045 30000048 100
30000045 30000049 100
30000046 30000015 100
30000046 30000044 100
30000046 30000045 100
30000046 30000047 100
30000046 30000048 100
30000047 30000046 100
30000047 30000050 100
30000048 30000045 100
30000048 30000046 100
30000048 30000106 1
30000049 30000045 100
30000050 30000047 100
30000051 30000052 1
30000051 30000053 1
30000051 30000056 1
30000051 30000109 1
30000052 30000003 1
30000052 30000051 1
30000052 30000053 1
30000052 30000054 1
30000052 30000055 1
30000053 30000051 1
30000053 30000052 1
30000054 30000052 1
30000054 30000055 1
30000055 30000052 1
30000055 30000054 1
30000056 30000051 1
30000057 30000008 1
30000057 30000058 1
30000057 30000061 1
30000057 30000068 1
30000058 30000057 1
30000058 30000059 1
30000058 30000068 1
30000058 30000105 100
30000059 30000058 1
30000059 30000060 1
30000060 30000059 1
30000060 30000062 1
30000060 30000063 1
30000060 30000065 100
30000061 30000057 1
30000062 30000060 1
30000062 30000065 100
30000062 30000067 100
30000063 30000060 1
30000063 30000064 1
30000063 30000069 1
30000064 30000028 1
30000064 30000063 1
30000064 30000066 1
30000064 30000069 1
30000065 30000060 100
30000065 30000062 100
30000065 30000067 100
30000065 30000118 100
30000066 30000064 1
30000066 30000069 1
30000067 30000062 100
30000067 30000065 100
30000068 30000057 1
30000068 30000058 1
30000069 30000063 1
30000069 30000064 1
30000069 30000066 1
30000070 30000073 100
30000070 30000074 100
30000070 30000075 100
30000070 30000085 100
30000071 30000074 100
30000072 30000074 100
30000072 30000075 100
30000072 30002982 100
30000073 30000012 100
30000073 30000070 100
30000073 30000085 100
30000074 30000070 100
30000074 30000071 100
30000074 30000072 100
30000074 30000075 100
30000075 30000070 100
30000075 30000072 100
30000075 30000074 100
30000075 30003703 100
30000076 30000008 1
30000076 30000077 1
30000076 30000079 1
30000077 30000076 1
30000077 30000078 1
30000077 30000080 1
30000078 30000077 1
30000078 30000080 1
30000079 30000076 1
30000080 30000077 1
30000080 30000078 1
30000080 30000081 1
30000081 30000080 1
30000082 30000083 1
30000082 30000084 1
30000082 30000085 1
30000083 30000082 1
30000083 30000087 1
30000084 30000003 1
30000084 30000082 1
30000084 30000086 1
30000085 30000070 100
30000085 30000073 100
30000085 30000082 1
30000085 30000086 1
30000085 30000107 1
30000086 30000084 1
30000086 30000085 1
30000087 30000083 1
30000087 30000088 1
30000088 30000087 1
30000089 30000090 100
30000089 30000091 100
30000089 30000092 100
30000090 30000014 100
30000090 30000089 100
30000090 30000093 100
30000091 30000089 100
30000092 30000089 100
30000092 30000094 100
